geneID	qb_mean	n_hets	total_readepth	st_parameter_fit	st_p_value	Sample	Ancestry
ENSG00000177757	0.526912	1	1	PASSED	0.3153746739536702	NA18508	YRI
ENSG00000225880	0.453659	2	4	PASSED	0.3046264401569838	NA18508	YRI
ENSG00000188976	0.473088	1	1	PASSED	0.3192461823784016	NA18508	YRI
ENSG00000187961	0.614678	4	24	PASSED	0.0398820630895783	NA18508	YRI
ENSG00000187583	0.519858	2	4	PASSED	0.6444366412491678	NA18508	YRI
ENSG00000187608	0.487191	1	1778	PASSED	0.2867119323913093	NA18508	YRI
ENSG00000078808	0.508942	8	504	PASSED	0.6538662753772102	NA18508	YRI
ENSG00000176022	0.310308	3	42	PASSED	0.0003948701321287	NA18508	YRI
ENSG00000184163	0.473088	1	1	PASSED	0.3192461823784016	NA18508	YRI
ENSG00000160087	0.427111	1	3	PASSED	0.0899707756879734	NA18508	YRI
ENSG00000169972	0.403798	1	24	PASSED	0.0825693816472373	NA18508	YRI
ENSG00000127054	0.572889	1	3	PASSED	0.0831325948222304	NA18508	YRI
ENSG00000169962	0.499894	3	6	PASSED	0.9818350399743264	NA18508	YRI
ENSG00000107404	0.484345	2	76	PASSED	0.7071403244746268	NA18508	YRI
ENSG00000175756	0.427049	3	603	PASSED	0.000500810965229	NA18508	YRI
ENSG00000242485	0.451705	2	12	PASSED	0.3868065323265397	NA18508	YRI
ENSG00000179403	0.526912	1	1	PASSED	0.3153746739536702	NA18508	YRI
ENSG00000160072	0.423264	1	15	PASSED	0.1986904518954044	NA18508	YRI
ENSG00000008128	0.5	1	2	PASSED	0.9794275014841128	NA18508	YRI
ENSG00000008130	0.5	1	44	PASSED	0.9630989592001716	NA18508	YRI
ENSG00000162585	0.466405	4	284	PASSED	0.2268226861660405	NA18508	YRI
ENSG00000157933	0.591301	2	14	PASSED	0.1062370139586528	NA18508	YRI
ENSG00000116151	0.475704	2	2	PASSED	0.486294736744569	NA18508	YRI
ENSG00000157916	0.423717	4	36	PASSED	0.1428840152366456	NA18508	YRI
ENSG00000149527	0.381531	5	5	PASSED	0.0032896011804097	NA18508	YRI
ENSG00000157881	0.491358	4	52	PASSED	0.8566962877008648	NA18508	YRI
ENSG00000157873	0.524211	9	198	PASSED	0.4411255302893058	NA18508	YRI
ENSG00000157870	0.463741	1	10	PASSED	0.5386484830861389	NA18508	YRI
ENSG00000215912	0.473088	1	1	PASSED	0.3192461823784016	NA18508	YRI
ENSG00000158109	0.466379	3	144	PASSED	0.3450873564749792	NA18508	YRI
ENSG00000116213	0.497351	10	140	PASSED	0.9431873860431776	NA18508	YRI
ENSG00000078900	0.404065	8	200	PASSED	0.003038745800393	NA18508	YRI
ENSG00000227372	0.645168	6	48	PASSED	0.0016714357840359	NA18508	YRI
ENSG00000130764	0.475239	1	43	PASSED	0.6421027946145615	NA18508	YRI
ENSG00000116198	0.532374	6	54	PASSED	0.4840975227700312	NA18508	YRI
ENSG00000169598	0.476317	6	48	PASSED	0.6070368099210955	NA18508	YRI
ENSG00000198912	0.527647	7	196	PASSED	0.3616260360901	NA18508	YRI
ENSG00000236423	0.504042	2	2	PASSED	0.9135155513633793	NA18508	YRI
ENSG00000131697	0.508232	6	24	PASSED	0.8823287931933639	NA18508	YRI
ENSG00000069424	0.439358	3	240	PASSED	0.0336161334552239	NA18508	YRI
ENSG00000116251	0.525289	6	174	PASSED	0.4549139963735498	NA18508	YRI
ENSG00000158286	0.53728	5	5	PASSED	0.3364646406588026	NA18508	YRI
ENSG00000116237	0.567034	8	304	PASSED	0.0137140209862568	NA18508	YRI
ENSG00000158292	0.387161	3	12	PASSED	0.0403837155072372	NA18508	YRI
ENSG00000097021	0.407318	1	4	PASSED	0.0494093676955041	NA18508	YRI
ENSG00000069812	0.358873	4	4	PASSED	0.0005047822689704	NA18508	YRI
ENSG00000162408	0.498314	4	40	PASSED	0.9661666918008563	NA18508	YRI
ENSG00000204859	0.45759	1	6	PASSED	0.4269567548238308	NA18508	YRI
ENSG00000162413	0.452808	6	42	PASSED	0.3324062524940262	NA18508	YRI
